"lesson","number","en","ru","uk","pos","note"
"13","3","tonight","Сегодня вечером / ночью","Сьогодні ввечері / вночі","adverbs",""
"13","4","next week","На следующей неделе","Наступного тижня","adverbs",""
"13","5","next month","В следующем месяце","Наступного місяця","adverbs",""
"13","6","in two days","Через два дня","Через два дні","adverbs",""
"13","7","in ten minutes","Через десять минут","Через десять хвилин","adverbs",""
"13","8","soup","Суп","Суп","nouns",""
"13","9","better","Лучше","Краще","adjectives",""
"13","10","early","Рано","Рано","adverbs",""
"14","1","cheaper","Дешевле · более дешёвый","Дешевший","adjectives",""
"14","2","more expensive","Дороже · более дорогой","Дорожчий","adjectives",""
"14","3","worse","Хуже (сравн. от bad)","Гірше (від bad)","adjectives",""
"14","4","happier","Счастливее","Щасливіший","adjectives",""
"14","5","more serious","Серьёзнее","Серйозніший","adjectives",""
"14","6","faster","Быстрее","Швидший","adjectives",""
"14","7","slower","Медленнее","Повільніший","adjectives",""
"14","8","easier","Проще · легче","Простіший · легший","adjectives",""
"14","9","harder","Сложнее · труднее","Складніший","adjectives",""
"14","10","more interesting","Интереснее","Цікавіший","adjectives",""
"14","11","more important","Важнее","Важливіший","adjectives",""
"14","12","safer","Безопаснее","Безпечніший","adjectives",""
"14","13","more dangerous","Опаснее","Небезпечніший","adjectives",""
"14","14","colder","Холоднее","Холодніший","adjectives",""
"14","15","warmer","Теплее","Тепліший","adjectives",""
"14","16","heavier","Тяжелее","Важчий","adjectives",""
"14","17","newer","Новее","Новіший","adjectives",""
"14","18","older","Старее","Старший","adjectives",""
"14","19","shorter","Короче","Коротший","adjectives",""
"14","20","longer","Длиннее","Довший","adjectives",""
"14","21","clearer","Понятнее · яснее","Зрозуміліший","adjectives",""
"14","22","more confusing","Более запутанный","Більш заплутаний","adjectives",""
"14","23","the best","Лучший · самый лучший","Найкращий","adjectives",""
"14","24","the worst","Худший · самый плохой","Найгірший","adjectives",""
"14","25","the cheapest","Самый дешёвый","Найдешевший","adjectives",""
"14","26","the most expensive","Самый дорогой","Найдорожчий","adjectives",""
"14","27","the fastest","Самый быстрый","Найшвидший","adjectives",""
"14","28","the slowest","Самый медленный","Найповільніший","adjectives",""
"14","29","the easiest","Самый простой","Найпростіший","adjectives",""
"14","30","the hardest","Самый сложный","Найскладніший","adjectives",""
"14","31","the safest","Самый безопасный","Найбезпечніший","adjectives",""
"14","32","the most dangerous","Самый опасный","Найнебезпечніший","adjectives",""
"14","33","more","Более (сравнение)","Більш (порівняння)","adverbs",""
"14","34","option","Вариант","Варіант","nouns",""
"14","35","lesson","Урок","Урок","nouns",""
"15","1","mine","мой; моя; моё (самост.)","мій; моя; моє (самост.)","pronouns",""
"15","2","your","твой; ваш (перед сущ.)","твій; ваш (перед ім.)","pronouns",""
"15","3","yours","твоё; ваше (самост.)","твоє; ваше (самост.)","pronouns",""
"15","4","hers","её (самост.)","її (самост.)","pronouns",""
"15","5","our","наш; наша; наше (перед сущ.)","наш; наша; наше (перед ім.)","pronouns",""
"15","6","ours","наше; наши (самост.)","наше; наші (самост.)","pronouns",""
"15","7","their","их (перед сущ.)","їхній; їхня (перед ім.)","pronouns",""
"15","8","theirs","их (самост.)","їхній; їхнє (самост.)","pronouns",""
"15","9","these","эти","ці","pronouns",""
"16","1","wake up","Просыпаться","Прокидатися","verbs",""
"16","2","get up","Вставать","Вставати","verbs",""
"16","3","put on","Надевать","Надягати","verbs",""
"16","4","take off","Снимать (одежду)","Знімати (одяг)","verbs",""
"16","5","turn on","Включать","Вмикати","verbs",""
"16","6","turn off","Выключать","Вимикати","verbs",""
"16","7","look for","Искать","Шукати","verbs",""
"16","8","clean up","Убирать · наводить порядок","Прибирати · наводити лад","verbs",""
"16","9","throw away","Выбрасывать","Викидати","verbs",""
"16","10","give back","Возвращать (отдавать обратно)","Повертати (віддавати назад)","verbs",""
"16","11","find out","Выяснять · узнавать","З'ясовувати · дізнаватися","verbs",""
"16","12","go back","Возвращаться назад","Повертатися назад","verbs",""
"16","13","light","Свет / лампа","Світло / лампа","nouns","первая форма: lights -> light"
"16","14","paper","Бумага","Папір","nouns","первая форма: papers -> paper"
"16","15","fact","Факт","Факт","nouns","первая форма: facts -> fact"
"16","16","problem","Проблема","Проблема","nouns","первая форма: problems -> problem"
"16","17","at night","Ночью","Вночі","adverbs",""
"16","18","at noon","В полдень","Опівдні","adverbs",""
"17","1","sleep","Спать","Спати","verbs",""
"17","2","go","Идти / ехать","Іти / їхати","verbs",""
"17","3","right now","Прямо сейчас","Прямо зараз","adverbs",""
"17","4","at the moment","В данный момент","На даний момент","adverbs",""
"17","5","today","Сегодня","Сьогодні","adverbs",""
"17","6","too fast","Слишком быстро","Занадто швидко","adverbs",""
"18","1","please","Пожалуйста","Будь ласка","adverbs",""
"18","2","talk","Говорить / поговорить","Говорити / поговорити","verbs",""
"19","1","under","Под","Під","adverbs",""
"19","2","next to","Рядом с","Поруч з","adverbs",""
"19","3","behind","За / позади","За / позаду","adverbs",""
"19","4","in front of","Перед","Перед","adverbs",""
"19","5","between","Между","Між","adverbs",""
"19","6","above","Над / выше","Над / вище","adverbs",""
"19","7","opposite","Напротив","Навпроти","adverbs",""
"19","8","chair","Стул","Стілець","nouns",""
"19","9","bank","Банк","Банк","nouns",""
"20","1","idea","Идея","Ідея","nouns",""
"20","2","cup","Чашка","Чашка","nouns",""
"20","3","inbox","Папка входящих","Папка вхідних","nouns",""
"21","1","someone","Кто-то (нейтрально)","Хтось (нейтрально)","pronouns",""
"21","2","somebody","Кто-то (разговорно)","Хтось (розмовно)","pronouns",""
"21","3","anyone","Кто-нибудь (нейтрально)","Хто-небудь (нейтрально)","pronouns",""
"21","4","anybody","Кто-нибудь (разговорно)","Хто-небудь (розмовно)","pronouns",""
"21","5","no one","Никто (пишется раздельно)","Ніхто (два слова в английском)","pronouns",""
"21","6","nobody","Никто (одно слово)","Ніхто (одне слово в англійській)","pronouns",""
"21","7","everyone","Все; каждый","Усі; кожен","pronouns",""
"21","8","everybody","Все люди / каждый","Усі люди / кожен","pronouns",""
"21","9","something","Что-то","Щось","pronouns",""
"21","10","anything","Что-нибудь","Що-небудь","pronouns",""
"21","11","nothing","Ничего","Нічого","pronouns",""
"21","12","everything","Всё (вещи / события)","Усе (речі / події)","pronouns",""
"21","13","happen","Происходить","Відбуватися","verbs",""
"22","1","waite","Ожидание; ждать","Очікування; чекати","verbs","первая форма: waiting -> waite"
"22","2","learn","Изучение; учеба","Вивчення; навчання","verbs","первая форма: learning -> learn"
"22","3","walk","Ходьба; гулять","Ходьба; гуляти","verbs","первая форма: walking -> walk"
"22","4","run","Бег; бегать","Біг; бігати","verbs","первая форма: running -> run"
"22","5","speake","Говорение; говорить","Говоріння; говорити","verbs","первая форма: speaking -> speake"
"22","6","studie","Учеба; учиться","Навчання; вчитися","verbs","первая форма: studying -> studie"
"22","7","spend","Трата; тратить","Витрата; витрачати","verbs","первая форма: spending -> spend"
"22","8","wast","Трата зря; тратить зря","Марна витрата; витрачати даремно","verbs","первая форма: wasting -> wast"
"22","9","cal","Звонок; звонить","Дзвінок; дзвонити","verbs","первая форма: calling -> cal"
"22","10","enjoy","Получать удовольствие; любить делать","Отримувати задоволення; любити робити","verbs",""
"22","11","hate","Ненавидеть","Ненавидіти","verbs",""
"22","12","stop","Прекращать; переставать","Припиняти; переставати","verbs",""
"22","13","avoid","Избегать","Уникати","verbs",""
"22","14","keep","Продолжать (делать)","Продовжувати (робити)","verbs",""
"22","15","suggest","Предлагать","Пропонувати","verbs",""
"22","16","practice","Практика","Практика","nouns",""
"22","17","hard","Сложный; тяжелый","Складний; важкий","adjectives",""
"23","1","sold","Продаётся / продан","Продається","verbs",""
"23","2","made","Делается / сделан","Робиться","verbs",""
"23","3","sent","Отправляется / отправлен","Надсилається","verbs",""
"23","4","used","Используется / использован","Використовується","verbs",""
"23","5","kept","Хранится / хранился","Зберігається","verbs",""
"23","6","explaine","Объясняется / объяснён","Пояснюється","verbs","первая форма: explained -> explaine"
"23","7","supporte","Поддерживается / поддержан","Підтримується","verbs","первая форма: supported -> supporte"
"23","8","solve","Решается / решён","Вирішується","verbs","первая форма: solved -> solve"
"23","9","invite","Приглашается / приглашён","Запрошується","verbs","первая форма: invited -> invite"
"23","10","signe","Подписывается / подписан","Підписується","verbs","первая форма: signed -> signe"
"23","11","carefully","Внимательно","Уважно","adverbs",""
"23","12","quickly","Быстро","Швидко","adverbs",""
"23","13","clearly","Чётко","Чітко","adverbs",""
"23","14","on time","Вовремя","Вчасно","adverbs",""
"23","15","make","Делать","Робити","verbs",""
"23","16","hold","Держать, проводить","Тримати, проводити","verbs",""
"24","1","just","Только что","Щойно","adverbs",""
"24","2","already","Уже","Вже","adverbs",""
"24","3","yet","Ещё (в отриц.) / уже (в вопросе)","Ще / вже","adverbs",""
"24","4","ever","Когда-нибудь","Коли-небудь","adverbs",""
"24","5","never","Никогда","Ніколи","adverbs",""
"24","6","before","Раньше","Раніше","adverbs",""
"24","7","found","Нашёл","Знайшов","verbs",""
"24","8","seen","Видел","Бачив","verbs",""
"24","9","chosen","Выбрал","Обрав","verbs",""
"24","10","done","Сделал / завершил","Зробив / завершив","verbs",""
"24","11","met","Встретил","Зустрів","verbs",""
"24","12","lost","Потерял","Загубив","verbs",""
"24","13","paid","Заплатил","Заплатив","verbs",""
"24","14","bought","Купил","Купив","verbs",""
"24","15","find","Находить","Знаходити","verbs",""
"24","16","meet","Встретить; познакомиться","Зустріти; познайомитися","verbs",""
"25","1","while","Пока","Поки","adverbs",""
"25","2","at that time","В тот момент","У той момент","adverbs",""
"25","3","at midnight","В полночь","Опівночі","adverbs",""
"25","4","last night","Прошлой ночью","Минулої ночі","adverbs",""
"25","5","yesterday evening","Вчера вечером","Вчора ввечері","adverbs",""
"25","6","looking for","Искал","Шукав","verbs",""
"25","7","eate","Ел","Їв","verbs","первая форма: eating -> eate"
"25","8","crie","Плакала","Плакала","verbs","первая форма: crying -> crie"
"25","9","rain","Шёл дождь","Йшов дощ","verbs","первая форма: raining -> rain"
"25","10","fast","Быстро","Швидко","adverbs",""
"25","11","then","Тогда","Тоді","adverbs",""
"25","12","knock","Стучать","Стукати","verbs",""
"25","13","bus","Автобус","Автобус","nouns",""
"26","1","if","Если","Якщо","adverbs",""
"26","2","improve","Улучшаться","Покращуватися","verbs",""
"26","3","restart","Перезапустить","Перезапустити","verbs",""
"26","4","button","Кнопка","Кнопка","nouns",""
"26","5","less","Меньше","Менше","adverbs",""
"26","6","ourselves","Сами","Самі","pronouns",""
"26","7","without","Без","Без","adverbs",""
"26","8","save money","Сэкономить деньги","Заощадити гроші","verbs",""
"26","9","stay home","Остаться дома","Залишитися вдома","verbs",""
"26","10","come back","Вернуться","Повернутися","verbs",""
"26","11","heat","Нагревать","Нагрівати","verbs",""
"26","12","press","Нажимать","Натискати","verbs",""
"27","1","admit","Признавать","Визнавати","verbs",""
"27","2","promise","Обещать","Обіцяти","verbs",""
"27","3","warn","Предупреждать","Попереджати","verbs",""
"27","4","reply","Отвечать","Відповідати","verbs",""
"27","5","experienced","Опытный","Досвідчений","adjectives",""
"27","6","reliable","Надежный","Надійний","adjectives",""
"27","7","honest","Честный","Чесний","adjectives",""
"27","8","still","Всё ещё","Ще","adverbs",""
"27","9","contract","Контракт","Контракт","nouns",""
"28","1","myself","Себя / сам (я)","Себе / сам (я)","pronouns",""
"28","2","yourself","Себя / сам (ты/вы)","Себе / сам (ти/ви)","pronouns",""
"28","3","himself","Себя / сам (он)","Себе / сам (він)","pronouns",""
"28","4","herself","Себя / сама","Себе / сама","pronouns",""
"28","5","itself","Себя / само","Себе / само","pronouns",""
"28","6","yourselves","Себя / сами (вы)","Себе / самі (ви)","pronouns",""
"28","7","themselves","Себя / сами (они)","Себе / самі (вони)","pronouns",""
"28","8","control","Контролировать себя","Контролювати себе","verbs",""
"28","9","force","Заставить себя","Змусити себе","verbs",""
"28","10","forgive","Простить себя","Пробачити себе","verbs",""
"28","11","blame","Винить себя","Звинувачувати себе","verbs",""
"28","12","remind","Напомнить себе","Нагадати собі","verbs",""
"28","13","truth","Правда","Правда","nouns",""
"28","14","take care of","Заботиться о","Піклуватися про","verbs",""
"29","1","used to","Раньше обычно","Раніше зазвичай","verbs",""
"29","2","shy","Стеснительный","Сором'язливий","adjectives",""
"29","3","patient","Терпеливый","Терплячий","adjectives",""
"29","4","confidently","Уверенно","Впевнено","adverbs",""
"29","5","play","Играть","Грати","verbs",""
"30","1","that","Который (универсально)","Що / який (універсально)","pronouns",""
"30","2","whose","Чей / чья / чьи","Чий / чия / чиї","pronouns",""
"30","3","stay","Останавливаться","Зупинятися","verbs",""
"30","4","person","Человек","Людина","nouns",""
"30","5","nearby","Рядом / неподалёку","Поруч / неподалік","adverbs",""
"31","1","demand","Требовать","Вимагати","verbs",""
"31","2","conduct","Проводить","Проводити","verbs",""
"31","3","verify","Проверять","Перевіряти","verbs",""
"31","4","carpenter","Плотник","Тесляр","nouns",""
"31","5","supplier","Поставщик","Постачальник","nouns",""
"31","6","tenant","Жилец","Мешканець","nouns",""
"31","7","thesis","Диссертация","Дисертація","nouns",""
"31","8","tremor","Толчок","Поштовх","nouns",""
"31","9","injection","Инъекция","Ін'єкція","nouns",""
"31","10","forecast","Прогноз","Прогноз","nouns",""
"31","11","furious","Разъяренный","Розлючений","adjectives",""
"31","12","pale","Бледный","Блідий","adjectives",""
"31","13","painless","Безболезненный","Безболісний","adjectives",""
"31","14","perfectly","Идеально","Ідеально","adverbs",""
"31","15","efficiently","Эффективно","Ефективно","adverbs",""
"31","16","flight","Полёт, рейс","Політ, рейс","nouns",""
"31","17","procedure","Процедура","Процедура","nouns",""
"31","18","raindrop","Капля дождя","Крапля дощу","nouns",""
"31","19","shoulder","Плечо","Плече","nouns",""
"31","20","jazz","Джаз","Джаз","nouns",""
"31","21","composition","Сочинение, состав","Твір, склад","nouns",""
"31","22","earth","Земля (планета); почва","Земля; ґрунт","nouns",""
"31","23","unknown","Неизвестный","Невідомий","adjectives",""
"31","24","slot","Слот, щель","Слот, щілина","nouns",""
"31","25","protester","Протестующий","Протестувальник","nouns",""
"31","26","political","Политический","Політичний","adjectives",""
"31","27","slogan","Лозунг","Гасло","nouns",""
"31","28","strike","Удар; забастовка","Удар; страйк","nouns",""
"31","29","lonely","Одинокий","Самотній","adjectives",""
"31","30","face","Лицо; лицом к","Обличчя; зіткнутися","nouns",""
"31","31","production","Производство, постановка","Виробництво, вистава","nouns",""
"31","32","quota","Квота, норма","Квота, норма","nouns",""
"31","33","trunk","Багажник; ствол","Багажник; стовбур","nouns",""
"31","34","layer","Слой","Шар","nouns",""
"31","35","genius","Гений","Геній","nouns",""
"31","36","refund","Возврат (денег)","Повернення (коштів)","nouns",""
"31","37","fabric","Ткань","Тканина","nouns",""
"31","38","sensitive","Чувствительный","Чутливий","adjectives",""
"31","39","skin","Кожа","Шкіра","nouns",""
"31","40","archaeologist","Археолог (AmE)","Археолог (AmE)","nouns",""
"31","41","rewrite","Переписать","Переписати","verbs",""
"31","42","graduation","Выпуск (из учебного)","Випуск (закінчення)","nouns",""
"31","43","violinist","Скрипач(ка)","Скрипаль(ка)","nouns",""
"31","44","melody","Мелодия","Мелодія","nouns",""
"31","45","square","Площадь, квадратный","Площа, квадратний","nouns",""
"31","46","steam","Пар","Пар","nouns",""
"31","47","mayor","Мэр","Мер","nouns",""
"31","48","arm","Рука (от плеча до кисти)","Рука (від плеча до кисті)","nouns",""
"31","49","hand","Рука (кисть)","Рука (кисть)","nouns",""
"31","50","bare","Голый, оголённый","Голий, оголений","adjectives",""
"31","51","child","Ребёнок","Дитина","nouns",""
"31","52","chocolate","Шоколадный","Шоколадний","adjectives",""
"31","53","cake","Торт","Торт","nouns",""
"31","54","little","Маленький","Маленький","adjectives",""
"31","55","notice","Замечать","Помічати","verbs",""
"31","56","shout","Кричать","Кричати","verbs",""
"31","57","loud","Громкий","Гучний","adjectives",""
"31","58","bright","Яркий","Яскравий","adjectives",""
"31","59","hill","Холм","Пагорб","nouns",""
"31","60","lazy","Ленивый","Лінивий","adjectives",""
"31","61","manager","Менеджер","Менеджер","nouns",""
"31","62","worker","Работник","Працівник","nouns",""
"31","63","necessary","Необходимый","Необхідний","adjectives",""
"31","64","construction","Строительный","Будівельний","adjectives",""
"31","65","material","Материал","Матеріал","nouns","первая форма: materials -> material"
"31","66","foreign","Иностранный","Іноземний","adjectives",""
"31","67","inspect","Проверять / осматривать","Перевіряти / оглядати","verbs",""
"31","68","modern","Современный","Сучасний","adjectives",""
"31","69","chemical","Химический","Хімічний","adjectives",""
"31","70","pierce","Прокалывать","Проколювати","verbs",""
"31","71","thick","Толстый","Товстий","adjectives",""
"31","72","protective","Защитный","Захисний","adjectives",""
"31","73","young","Молодой","Молодий","adjectives",""
"31","74","secret","Секретный","Таємний","adjectives",""
"31","75","government","Правительство","Уряд","nouns",""
"31","76","farmer","Фермер","Фермер","nouns",""
"31","77","irrigation","Ирригационный","Зрошувальний","adjectives",""
"31","78","system","Система","Система","nouns",""
"31","79","customer","Клиент","Клієнт","nouns",""
"31","80","immediate","Немедленный","Негайний","adjectives",""
"31","81","woolen","Шерстяной","Вовняний","adjectives",""
"31","82","gold","Золотой","Золотий","adjectives",""
"31","83","coin","Монета","Монета","nouns",""
"31","84","wise","Мудрый","Мудрий","adjectives",""
"31","85","mentor","Наставник","Наставник","nouns",""
"31","86","talented","Талантливый","Талановитий","adjectives",""
"31","87","perform","Исполнять","Виконувати","verbs",""
"31","88","burn","Жечь / обжигать","Пекти / обпікати","verbs",""
"31","89","local","Местный","Місцевий","adjectives",""
"31","90","interview","Брать интервью","Брати інтерв'ю","verbs",""
"31","91","knee","Колено","Коліно","nouns",""
"31","92","engineer","Инженер","Інженер","nouns",""
"31","93","test","Тестировать","Тестувати","verbs",""
"31","94","solar","Солнечный","Сонячний","adjectives",""
"31","95","reach","Достигать","Досягати","verbs",""
"31","96","eye","Глаз","Око","nouns","первая форма: eyes -> eye"
"31","97","tall","Высокий (о росте)","Високий (про зріст)","adjectives",""
"31","98","crowded","Многолюдный","Людний","adjectives",""
"31","99","brave","Смелый","Хоробрий","adjectives",""
"31","100","panicked","Охваченный паникой","Охоплений панікою","adjectives",""
"31","101","family","Семья","Родина","nouns",""
"31","102","follow","Следовать / идти за","Слідувати / іти за","verbs",""
"31","103","couple","Пара","Пара","nouns",""
"31","104","candidate","Кандидат","Кандидат","nouns",""
"31","105","artist","Художник","Художник","nouns",""
"31","106","massive","Огромный / массивный","Величезний / масивний","adjectives",""
"31","107","push","Толкать","Штовхати","verbs",""
"31","108","list","Список","Список","nouns",""
"31","109","nurse","Медсестра","Медсестра","nouns",""
"31","110","bitter","Горький","Гіркий","adjectives",""
"31","111","drop","Ронять","Кидати / ронити","verbs",""
"31","112","metal","Металлический","Металевий","adjectives",""
"31","113","storm","Ливень / шторм","Злива / шторм","nouns",""
"31","114","wild","Дикий","Дикий","adjectives",""
"31","115","horse","Лошадь","Кінь","nouns",""
"31","116","jump","Прыгать","Стрибати","verbs",""
"31","117","high","Высокий (по высоте)","Високий (за висотою)","adjectives",""
"31","118","judge","Судья","Суддя","nouns",""
"31","119","announce","Объявлять","Оголошувати","verbs",""
"31","120","surprising","Удивительный","Дивовижний","adjectives",""
"31","121","whole","Весь / целый","Весь / цілий","adjectives",""
"31","122","helpful","Полезный / готовый помочь","Корисний / готовий допомогти","adjectives",""
"31","123","tourist","Турист","Турист","nouns",""
"31","124","firm","Строгий / твёрдый","Суворий / твердий","adjectives",""
"31","125","employee","Сотрудник","Працівник / співробітник","nouns",""
"31","126","boring","Скучный","Нудний","adjectives",""
"31","127","skilled","Опытный / умелый","Досвідчений / вмілий","adjectives",""
"32","1","be used to","Быть привыкшим к","Бути звиклим до","verbs",""
"32","2","waking up","Просыпаться","Прокидатися","verbs",""
"32","3","teacher","Учитель","Вчитель","nouns",""
"32","4","vibrate","Вибрировать","Вібрувати","verbs",""
"32","5","would rather","Предпочёл бы","Волів би","verbs",""
"32","6","earlier","Раньше","Раніше","adverbs",""
"32","7","since","С (момента)","З (часу)","adverbs",""
